IP1,IP2,Port1,Port2,Transport_Protocol,packet_count,From1to2,From2to1,Query_DNS,Who_Is,SNI,HTTP
0.0.0.0,224.0.0.22,,,,2,2,0,[],"['Eccezione', 'Eccezione']",[],[]
0.0.0.0,255.255.255.255,68,67,UDP,4,4,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.2,255.255.255.255,67,68,UDP,4,4,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,224.0.0.22,,,,9,9,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,224.0.0.251,5353,5353,UDP,36,36,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,59954,853,TCP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,61718,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.251.209.35'], 'DNS Query Name': 'connectivitycheck.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,31415,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:411::2003'], 'DNS Query Name': 'connectivitycheck.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,45976,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['216.58.209.36'], 'DNS Query Name': 'www.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,50421,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:403::2004'], 'DNS Query Name': 'www.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,17976,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2001:4860:4806:8::', '2001:4860:4806:4::', '2001:4860:4806::', '2001:4860:4806:c::'], 'DNS Query Name': 'time.android.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,14842,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['216.239.35.4', '216.239.35.8', '216.239.35.0', '216.239.35.12'], 'DNS Query Name': 'time.android.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,142.251.209.35,35218,80,TCP,10,5,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,216.58.209.36,58432,443,TCP,21,10,11,[],"['Eccezione', 'Eccezione']",['www.google.com'],[]
10.0.2.15,216.239.35.4,41946,123,UDP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,59960,853,TCP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,224.0.0.22,,,,2,2,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,14954,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'mobile-gtalk.l.google.com.', '2a00:1450:4013:c16::bc'], 'DNS Query Name': 'mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,6384,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'mobile-gtalk.l.google.com.', '74.125.128.188'], 'DNS Query Name': 'mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,52078,853,TCP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,17217,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['216.58.209.36'], 'DNS Query Name': 'www.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,74.125.128.188,36498,5228,TCP,20,9,11,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,216.58.209.36,50954,443,TCP,18,9,9,[],"['Eccezione', 'Eccezione']",['www.google.com'],[]
10.0.2.16,10.0.2.3,19691,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.251.209.35'], 'DNS Query Name': 'connectivitycheck.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.251.209.35,44642,80,TCP,10,5,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,74.125.128.188,39296,5228,TCP,22,11,11,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,52088,853,TCP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,16237,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'alt4.mobile-gtalk4.l.google.com.', '173.194.202.188'], 'DNS Query Name': 'alt4-mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,224.0.0.251,5353,5353,UDP,21,21,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,173.194.202.188,46600,443,TCP,20,10,10,[],"['Eccezione', 'Eccezione']",['alt4-mtalk.google.com'],[]
10.0.2.16,142.251.209.35,44650,80,TCP,10,5,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,216.58.209.36,50966,443,TCP,18,9,9,[],"['Eccezione', 'Eccezione']",['www.google.com'],[]
10.0.2.16,10.0.2.3,24958,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:402::200a', '2a00:1450:4002:403::200a', '2a00:1450:4002:410::200a', '2a00:1450:4002:411::200a'], 'DNS Query Name': 'www.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,47301,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.250.180.170', '142.251.209.10', '142.251.209.42', '216.58.209.42', '216.58.204.138', '216.58.205.42', '142.250.180.138'], 'DNS Query Name': 'www.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.170,49084,443,TCP,1520,630,890,[],"['Eccezione', 'Eccezione']",['www.googleapis.com'],[]
10.0.2.16,10.0.2.3,43521,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:410::2003'], 'DNS Query Name': 'fonts.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,42367,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.251.209.3'], 'DNS Query Name': 'fonts.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.251.209.3,49178,443,TCP,158,69,89,[],"['Eccezione', 'Eccezione']",['fonts.gstatic.com'],[]
10.0.2.16,10.0.2.3,23132,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:410::200a', '2a00:1450:4002:411::200a', '2a00:1450:4002:809::200a', '2a00:1450:4002:414::200a'], 'DNS Query Name': 'android.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,49172,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.250.180.138', '142.250.180.170', '142.251.209.10', '142.251.209.42', '216.58.204.138', '216.58.205.42'], 'DNS Query Name': 'android.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,31468,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'mobile-gtalk.l.google.com.', '2a00:1450:4013:c16::bc'], 'DNS Query Name': 'mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,64810,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:402::200a', '2a00:1450:4002:403::200a', '2a00:1450:4002:410::200a', '2a00:1450:4002:411::200a'], 'DNS Query Name': 'firebaseinstallations.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,14836,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'mobile-gtalk.l.google.com.', '74.125.128.188'], 'DNS Query Name': 'mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.138,59640,443,TCP,111,52,59,[],"['Eccezione', 'Eccezione']",['android.googleapis.com'],[]
10.0.2.16,74.125.128.188,39312,5228,TCP,22,11,11,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,28656,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['216.58.204.138', '216.58.205.42', '142.250.180.138', '142.250.180.170', '142.251.209.10', '142.251.209.42'], 'DNS Query Name': 'firebaseinstallations.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,216.58.204.138,52294,443,TCP,23,12,11,[],"['Eccezione', 'Eccezione']",['firebaseinstallations.googleapis.com'],[]
10.0.2.15,74.125.128.188,36524,5228,TCP,19,8,11,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,37602,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:411::2003'], 'DNS Query Name': 'connectivitycheck.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,35623,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:403::2004'], 'DNS Query Name': 'www.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,216.58.209.36,50980,443,TCP,18,9,9,[],"['Eccezione', 'Eccezione']",['www.google.com'],[]
10.0.2.16,142.251.209.35,44668,80,TCP,10,5,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.170,49100,443,TCP,610,291,319,[],"['Eccezione', 'Eccezione']",['www.googleapis.com'],[]
10.0.2.16,142.250.180.170,49102,443,TCP,81,34,47,[],"['Eccezione', 'Eccezione']",['www.googleapis.com'],[]
10.0.2.16,10.0.2.3,17153,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'android.l.google.com.'], 'DNS Query Name': 'android.clients.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,45524,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'android.l.google.com.', '216.58.204.142', '216.58.205.46', '142.250.180.142', '142.250.180.174', '142.251.209.14', '142.251.209.46'], 'DNS Query Name': 'android.clients.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,216.58.204.142,47618,443,TCP,28,14,14,[],"['Eccezione', 'Eccezione']",['android.clients.google.com'],[]
10.0.2.16,142.250.180.170,49106,443,TCP,64,32,32,[],"['Eccezione', 'Eccezione']",['www.googleapis.com'],[]
10.0.2.16,10.0.2.3,50395,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:402::200e'], 'DNS Query Name': 'dl.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,49701,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.250.180.142'], 'DNS Query Name': 'dl.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.142,51502,443,TCP,180,69,111,[],"['Eccezione', 'Eccezione']",['dl.google.com'],[]
10.0.2.16,142.250.180.138,59662,443,TCP,105,45,60,[],"['Eccezione', 'Eccezione']",['android.googleapis.com'],[]
10.0.2.16,10.0.2.3,32564,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:402::200e'], 'DNS Query Name': 'app-measurement.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,28332,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.250.180.142'], 'DNS Query Name': 'app-measurement.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.142,51506,443,TCP,33,17,16,[],"['Eccezione', 'Eccezione']",['app-measurement.com'],[]
10.0.2.16,74.125.128.188,39336,5228,TCP,30,15,15,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,20790,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'alt2.mobile-gtalk4.l.google.com.'], 'DNS Query Name': 'alt2-mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,22156,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'alt2.mobile-gtalk4.l.google.com.', '74.125.200.188'], 'DNS Query Name': 'alt2-mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,74.125.200.188,39558,443,TCP,25,13,12,[],"['Eccezione', 'Eccezione']",['alt2-mtalk.google.com'],[]
10.0.2.16,10.0.2.3,41408,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'clients.l.google.com.', '2a00:1450:4002:416::200e'], 'DNS Query Name': 'android.apis.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,10507,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'clients.l.google.com.', '216.58.205.46'], 'DNS Query Name': 'android.apis.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,216.58.205.46,52832,443,TCP,33,17,16,[],"['Eccezione', 'Eccezione']",['android.apis.google.com'],[]
10.0.2.16,142.250.180.138,59672,443,TCP,55,28,27,[],"['Eccezione', 'Eccezione']",['android.googleapis.com'],[]
10.0.2.16,10.0.2.3,43723,53,UDP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,24441,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['157.90.2.159'], 'DNS Query Name': 'prog-money.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,157.90.2.159,42848,80,TCP,13,7,6,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,2540,53,UDP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,14846,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.132.131.208'], 'DNS Query Name': 'anmon.name.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,60698,80,TCP,99,40,59,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,60700,80,TCP,17,9,8,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,34943,53,UDP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,51659,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['144.76.58.8'], 'DNS Query Name': 'andmon.name.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,144.76.58.8,36166,80,TCP,21,11,10,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,60704,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,60706,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,60708,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,60710,80,TCP,15,8,7,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,63559,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:410::200a', '2a00:1450:4002:411::200a', '2a00:1450:4002:809::200a', '2a00:1450:4002:414::200a'], 'DNS Query Name': 'play.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,14431,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.251.209.42', '216.58.204.138', '216.58.205.42', '142.250.180.138', '142.250.180.170', '142.251.209.10'], 'DNS Query Name': 'play.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.251.209.42,47256,443,TCP,35,18,17,[],"['Eccezione', 'Eccezione']",['play.googleapis.com'],[]
10.0.2.16,142.251.209.42,47258,443,TCP,35,18,17,[],"['Eccezione', 'Eccezione']",['play.googleapis.com'],[]
10.0.2.16,142.132.131.208,60716,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,60718,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,60720,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,60722,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,60724,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
