IP1,IP2,Port1,Port2,Transport_Protocol,packet_count,From1to2,From2to1,Query_DNS,Who_Is,SNI,HTTP
0.0.0.0,224.0.0.22,,,,2,2,0,[],"['Eccezione', 'Eccezione']",[],[]
0.0.0.0,255.255.255.255,68,67,UDP,4,4,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.2,255.255.255.255,67,68,UDP,4,4,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,224.0.0.22,,,,8,8,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,224.0.0.251,5353,5353,UDP,35,35,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,55688,853,TCP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,41476,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:410::2003'], 'DNS Query Name': 'connectivitycheck.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,33529,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.251.209.3'], 'DNS Query Name': 'connectivitycheck.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,2116,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:403::2004'], 'DNS Query Name': 'www.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,13586,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.250.180.132'], 'DNS Query Name': 'www.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,27516,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2001:4860:4806:c::', '2001:4860:4806:8::', '2001:4860:4806:4::', '2001:4860:4806::'], 'DNS Query Name': 'time.android.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,142.251.209.3,60890,80,TCP,10,5,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,142.250.180.132,50286,443,TCP,22,11,11,[],"['Eccezione', 'Eccezione']",['www.google.com'],[]
10.0.2.15,10.0.2.3,16703,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['216.239.35.0', '216.239.35.8', '216.239.35.12', '216.239.35.4'], 'DNS Query Name': 'time.android.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,216.239.35.0,42571,123,UDP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,55694,853,TCP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,43711,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'mobile-gtalk.l.google.com.', '2a00:1450:4013:c04::bc'], 'DNS Query Name': 'mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,10.0.2.3,3465,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'mobile-gtalk.l.google.com.', '74.125.128.188'], 'DNS Query Name': 'mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.15,74.125.128.188,33700,5228,TCP,21,10,11,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.15,142.250.180.132,50292,443,TCP,18,9,9,[],"['Eccezione', 'Eccezione']",['www.google.com'],[]
10.0.2.15,142.251.209.3,60900,80,TCP,10,5,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,224.0.0.22,,,,2,2,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,43882,853,TCP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,35956,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.250.180.132'], 'DNS Query Name': 'www.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,40331,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.251.209.3'], 'DNS Query Name': 'connectivitycheck.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.132,59972,443,TCP,18,9,9,[],"['Eccezione', 'Eccezione']",['www.google.com'],[]
10.0.2.16,142.251.209.3,48262,80,TCP,10,5,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,58536,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'mobile-gtalk.l.google.com.', '74.125.128.188'], 'DNS Query Name': 'mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,43888,853,TCP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,74.125.128.188,53214,5228,TCP,22,11,11,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,224.0.0.251,5353,5353,UDP,21,21,0,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,60752,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'alt7.mobile-gtalk.l.google.com.', '64.233.171.188'], 'DNS Query Name': 'alt7-mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,64.233.171.188,34896,5228,TCP,22,11,11,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,74.125.128.188,53218,5228,TCP,22,11,11,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,12932,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:414::200a', '2a00:1450:4002:416::200a', '2a00:1450:4002:402::200a', '2a00:1450:4002:403::200a'], 'DNS Query Name': 'www.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,8758,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:410::2003'], 'DNS Query Name': 'connectivitycheck.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,13957,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:403::2004'], 'DNS Query Name': 'www.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.132,59984,443,TCP,18,9,9,[],"['Eccezione', 'Eccezione']",['www.google.com'],[]
10.0.2.15,74.125.128.188,33722,5228,TCP,21,10,11,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,22521,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.250.180.170', '142.251.209.10', '142.251.209.42', '216.58.204.138', '216.58.205.42', '142.250.180.138'], 'DNS Query Name': 'www.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.251.209.3,48276,80,TCP,10,5,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.170,35646,443,TCP,1754,700,1054,[],"['Eccezione', 'Eccezione']",['www.googleapis.com'],[]
10.0.2.16,142.251.209.3,48280,80,TCP,10,5,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.132,59994,443,TCP,18,9,9,[],"['Eccezione', 'Eccezione']",['www.google.com'],[]
10.0.2.16,10.0.2.3,62329,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:403::2003'], 'DNS Query Name': 'fonts.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,27247,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.250.180.163'], 'DNS Query Name': 'fonts.gstatic.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.163,44062,443,TCP,142,54,88,[],"['Eccezione', 'Eccezione']",['fonts.gstatic.com'],[]
10.0.2.16,10.0.2.3,18138,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:403::200a', '2a00:1450:4002:410::200a', '2a00:1450:4002:411::200a', '2a00:1450:4002:809::200a'], 'DNS Query Name': 'android.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,24771,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.250.180.138', '142.250.180.170', '142.251.209.10', '142.251.209.42', '216.58.209.42', '216.58.204.138', '216.58.205.42'], 'DNS Query Name': 'android.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.138,59110,443,TCP,109,51,58,[],"['Eccezione', 'Eccezione']",['android.googleapis.com'],[]
10.0.2.16,142.250.180.170,35656,443,TCP,61,31,30,[],"['Eccezione', 'Eccezione']",['www.googleapis.com'],[]
10.0.2.16,10.0.2.3,9871,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:411::200a', '2a00:1450:4002:809::200a', '2a00:1450:4002:414::200a', '2a00:1450:4002:416::200a'], 'DNS Query Name': 'firebaseinstallations.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,32552,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.251.209.42', '216.58.204.138', '216.58.205.42', '142.250.180.138', '142.250.180.170', '142.251.209.10'], 'DNS Query Name': 'firebaseinstallations.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.251.209.42,51894,443,TCP,23,12,11,[],"['Eccezione', 'Eccezione']",['firebaseinstallations.googleapis.com'],[]
10.0.2.16,10.0.2.3,24163,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'android.l.google.com.'], 'DNS Query Name': 'android.clients.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,29356,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'android.l.google.com.', '216.58.205.46', '142.250.180.142', '142.250.180.174', '142.251.209.14', '142.251.209.46', '216.58.209.46', '216.58.204.142'], 'DNS Query Name': 'android.clients.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,216.58.205.46,40816,443,TCP,26,13,13,[],"['Eccezione', 'Eccezione']",['android.clients.google.com'],[]
10.0.2.16,216.58.205.46,40818,443,TCP,26,13,13,[],"['Eccezione', 'Eccezione']",['android.clients.google.com'],[]
10.0.2.16,10.0.2.3,47205,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:416::200e'], 'DNS Query Name': 'dl.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,13627,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['216.58.205.46'], 'DNS Query Name': 'dl.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,216.58.205.46,40820,443,TCP,209,97,112,[],"['Eccezione', 'Eccezione']",['dl.google.com'],[]
10.0.2.16,142.250.180.170,35666,443,TCP,620,298,322,[],"['Eccezione', 'Eccezione']",['www.googleapis.com'],[]
10.0.2.16,142.250.180.138,59124,443,TCP,101,43,58,[],"['Eccezione', 'Eccezione']",['android.googleapis.com'],[]
10.0.2.16,142.250.180.170,35670,443,TCP,122,51,71,[],"['Eccezione', 'Eccezione']",['www.googleapis.com'],[]
10.0.2.16,142.250.180.170,35672,443,TCP,93,38,55,[],"['Eccezione', 'Eccezione']",['www.googleapis.com'],[]
10.0.2.16,10.0.2.3,8510,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:416::200e'], 'DNS Query Name': 'app-measurement.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,28645,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['216.58.205.46'], 'DNS Query Name': 'app-measurement.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,216.58.205.46,40830,443,TCP,33,17,16,[],"['Eccezione', 'Eccezione']",['app-measurement.com'],[]
10.0.2.16,10.0.2.3,17035,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'mobile-gtalk.l.google.com.', '2a00:1450:4013:c04::bc'], 'DNS Query Name': 'mtalk.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,74.125.128.188,53256,5228,TCP,21,11,10,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,21895,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'clients.l.google.com.', '2a00:1450:4002:414::200e'], 'DNS Query Name': 'android.apis.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,35196,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': [b'clients.l.google.com.', '216.58.204.142'], 'DNS Query Name': 'android.apis.google.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,216.58.204.142,43642,443,TCP,29,15,14,[],"['Eccezione', 'Eccezione']",['android.apis.google.com'],[]
10.0.2.16,10.0.2.3,15614,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['2a00:1450:4002:402::200a', '2a00:1450:4002:403::200a', '2a00:1450:4002:416::200a', '2a00:1450:4002:410::200a'], 'DNS Query Name': 'play.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,50237,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.250.180.170', '216.58.204.138', '142.251.209.10', '142.250.180.138', '216.58.205.42', '142.251.209.42'], 'DNS Query Name': 'play.googleapis.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.250.180.170,35680,443,TCP,35,18,17,[],"['Eccezione', 'Eccezione']",['play.googleapis.com'],[]
10.0.2.16,142.250.180.138,59138,443,TCP,53,27,26,[],"['Eccezione', 'Eccezione']",['android.googleapis.com'],[]
10.0.2.16,142.250.180.170,35684,443,TCP,35,18,17,[],"['Eccezione', 'Eccezione']",['play.googleapis.com'],[]
10.0.2.16,10.0.2.3,26612,53,UDP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,35764,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['157.90.2.159'], 'DNS Query Name': 'prog-money.com.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,157.90.2.159,42826,80,TCP,15,8,7,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,11750,53,UDP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,9364,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['142.132.131.208'], 'DNS Query Name': 'anmon.name.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,54930,80,TCP,97,39,58,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,54932,80,TCP,21,11,10,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,53461,53,UDP,2,1,1,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,10.0.2.3,42418,53,UDP,2,1,1,"[{'Protocols': 17, 'DNS Answer': ['144.76.58.8'], 'DNS Query Name': 'andmon.name.'}]","['Eccezione', 'Eccezione']",[],[]
10.0.2.16,144.76.58.8,40672,80,TCP,23,12,11,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,54936,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,54938,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,54940,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,54942,80,TCP,15,8,7,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,54944,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,54946,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,54948,80,TCP,19,10,9,[],"['Eccezione', 'Eccezione']",[],[]
10.0.2.16,142.132.131.208,54950,80,TCP,11,6,5,[],"['Eccezione', 'Eccezione']",[],[]
