src_ip,dst_ip,sport,dport,packet_count,Query_DNS
0.0.0.0,224.0.0.22,,,4,NoQueryDNS
0.0.0.0,255.255.255.255,68,67,8,NoQueryDNS
10.0.2.2,255.255.255.255,67,68,8,NoQueryDNS
10.0.2.15,224.0.0.22,,,18,NoQueryDNS
10.0.2.15,224.0.0.251,5353,5353,72,Android.local.
10.0.2.15,10.0.2.3,59954,853,2,NoQueryDNS
10.0.2.3,10.0.2.15,853,59954,2,NoQueryDNS
10.0.2.15,10.0.2.3,61718,53,2,connectivitycheck.gstatic.com.
10.0.2.15,10.0.2.3,31415,53,2,connectivitycheck.gstatic.com.
10.0.2.15,10.0.2.3,45976,53,2,www.google.com.
10.0.2.15,10.0.2.3,50421,53,2,www.google.com.
10.0.2.15,10.0.2.3,17976,53,2,time.android.com.
10.0.2.3,10.0.2.15,53,45976,2,www.google.com.
10.0.2.3,10.0.2.15,53,61718,2,connectivitycheck.gstatic.com.
10.0.2.3,10.0.2.15,53,31415,2,connectivitycheck.gstatic.com.
10.0.2.3,10.0.2.15,53,50421,2,www.google.com.
10.0.2.3,10.0.2.15,53,17976,2,time.android.com.
10.0.2.15,10.0.2.3,14842,53,2,time.android.com.
10.0.2.15,142.251.209.35,35218,80,10,NoQueryDNS
10.0.2.15,216.58.209.36,58432,443,20,NoQueryDNS
142.251.209.35,10.0.2.15,80,35218,10,NoQueryDNS
216.58.209.36,10.0.2.15,443,58432,22,NoQueryDNS
10.0.2.3,10.0.2.15,53,14842,2,time.android.com.
10.0.2.15,216.239.35.4,41946,123,2,NoQueryDNS
216.239.35.4,10.0.2.15,123,41946,2,NoQueryDNS
10.0.2.15,10.0.2.3,59960,853,2,NoQueryDNS
10.0.2.3,10.0.2.15,853,59960,2,NoQueryDNS
10.0.2.16,224.0.0.22,,,4,NoQueryDNS
10.0.2.15,10.0.2.3,14954,53,2,mtalk.google.com.
10.0.2.3,10.0.2.15,53,14954,2,mtalk.google.com.
10.0.2.15,10.0.2.3,6384,53,2,mtalk.google.com.
10.0.2.16,10.0.2.3,52078,853,2,NoQueryDNS
10.0.2.3,10.0.2.16,853,52078,2,NoQueryDNS
10.0.2.3,10.0.2.15,53,6384,2,mtalk.google.com.
10.0.2.16,10.0.2.3,17217,53,2,www.google.com.
10.0.2.3,10.0.2.16,53,17217,2,www.google.com.
10.0.2.15,74.125.128.188,36498,5228,18,NoQueryDNS
10.0.2.16,216.58.209.36,50954,443,18,NoQueryDNS
74.125.128.188,10.0.2.15,5228,36498,22,NoQueryDNS
10.0.2.16,10.0.2.3,19691,53,2,connectivitycheck.gstatic.com.
216.58.209.36,10.0.2.16,443,50954,18,NoQueryDNS
10.0.2.3,10.0.2.16,53,19691,2,connectivitycheck.gstatic.com.
10.0.2.16,142.251.209.35,44642,80,10,NoQueryDNS
142.251.209.35,10.0.2.16,80,44642,10,NoQueryDNS
10.0.2.16,74.125.128.188,39296,5228,22,NoQueryDNS
10.0.2.16,10.0.2.3,52088,853,2,NoQueryDNS
10.0.2.3,10.0.2.16,853,52088,2,NoQueryDNS
74.125.128.188,10.0.2.16,5228,39296,22,NoQueryDNS
10.0.2.16,10.0.2.3,16237,53,2,alt4-mtalk.google.com.
10.0.2.16,224.0.0.251,5353,5353,42,adb-EMULATOR32X1X15X0._adb._tcp.local.
10.0.2.3,10.0.2.16,53,16237,2,alt4-mtalk.google.com.
